trait_label	substrate_name	chebi_id	chebi_label	category	occurrences	go_xref	notes
fermentation: D-glucose	D-glucose	CHEBI:17234	D-glucose	monosaccharide	3896	GO:0019660	Glycolytic fermentation
fermentation: D-ribose	D-ribose	CHEBI:47013	D-ribose	monosaccharide	1546
fermentation: D-xylose	D-xylose	CHEBI:18222	D-xylose	monosaccharide	1329
fermentation: D-mannose	D-mannose	CHEBI:4208	D-mannose	monosaccharide	1057
fermentation: D-fructose	D-fructose	CHEBI:28757	D-fructose	monosaccharide	106
fermentation: L-arabinose	L-arabinose	CHEBI:17553	L-arabinose	monosaccharide	143
fermentation: L-rhamnose	L-rhamnose	CHEBI:27907	L-rhamnose	monosaccharide	141
fermentation: D-galactose	D-galactose	CHEBI:28061	D-galactose	monosaccharide	85	GO:0005989
fermentation: L-fucose	L-fucose	CHEBI:42548	L-fucose	monosaccharide	18
fermentation: L-sorbose	L-sorbose	CHEBI:17262	L-sorbose	monosaccharide	14
fermentation: D-tagatose	D-tagatose	CHEBI:36291	D-tagatose	monosaccharide	12
fermentation: D-lyxose	D-lyxose	CHEBI:33124	D-lyxose	monosaccharide	8
fermentation: D-allose	D-allose	CHEBI:28980	D-allose	monosaccharide	6
fermentation: D-threose	D-threose	CHEBI:26986	D-threose	monosaccharide	4
fermentation: D-erythrose	D-erythrose	CHEBI:42382	D-erythrose	monosaccharide	3
fermentation: lactose	lactose	CHEBI:17716	lactose	disaccharide	321	GO:0005989
fermentation: maltose	maltose	CHEBI:17306	maltose	disaccharide	208	GO:0000023
fermentation: cellobiose	cellobiose	CHEBI:17057	cellobiose	disaccharide	126
fermentation: sucrose	sucrose	CHEBI:17992	sucrose	disaccharide	50
fermentation: melibiose	melibiose	CHEBI:28053	melibiose	disaccharide	119
fermentation: raffinose	raffinose	CHEBI:16634	raffinose	disaccharide	247
fermentation: trehalose	trehalose	CHEBI:16551	trehalose	disaccharide	38
fermentation: gentiobiose	gentiobiose	CHEBI:18296	gentiobiose	disaccharide	15
fermentation: turanose	turanose	CHEBI:28816	turanose	disaccharide	8
fermentation: lactulose	lactulose	CHEBI:6359	lactulose	disaccharide	6
fermentation: melezitose	melezitose	CHEBI:6704	melezitose	disaccharide	4
fermentation: amygdalin	amygdalin	CHEBI:17019	amygdalin	disaccharide	354
fermentation: glycogen	glycogen	CHEBI:28087	glycogen	polysaccharide	251	GO:0005977
fermentation: starch	starch	CHEBI:28017	starch	polysaccharide	42
fermentation: inulin	inulin	CHEBI:15443	inulin	polysaccharide	18
fermentation: dextrin	dextrin	CHEBI:23849	dextrin	polysaccharide	12
fermentation: pullulan	pullulan	CHEBI:61266	pullulan	polysaccharide	6
fermentation: D-mannitol	D-mannitol	CHEBI:16899	D-mannitol	sugar_alcohol	2087	GO:0019400
fermentation: D-sorbitol	D-sorbitol	CHEBI:17924	D-sorbitol	sugar_alcohol	156
fermentation: myo-inositol	myo-inositol	CHEBI:17268	myo-inositol	sugar_alcohol	25
fermentation: glycerol	glycerol	CHEBI:17754	glycerol	sugar_alcohol	84
fermentation: xylitol	xylitol	CHEBI:17151	xylitol	sugar_alcohol	32
fermentation: dulcitol	dulcitol	CHEBI:42976	dulcitol	sugar_alcohol	28
fermentation: adonitol	adonitol	CHEBI:15963	adonitol	sugar_alcohol	22
fermentation: erythritol	erythritol	CHEBI:16219	erythritol	sugar_alcohol	18
fermentation: D-arabitol	D-arabitol	CHEBI:22599	D-arabitol	sugar_alcohol	14
fermentation: ribitol	ribitol	CHEBI:27476	ribitol	sugar_alcohol	11
fermentation: lactitol	lactitol	CHEBI:6359	lactitol	sugar_alcohol	8
fermentation: maltitol	maltitol	CHEBI:25140	maltitol	sugar_alcohol	6
fermentation: isomalt	isomalt	CHEBI:63438	isomalt	sugar_alcohol	4
fermentation: threitol	threitol	CHEBI:27454	threitol	sugar_alcohol	3
fermentation: salicin	salicin	CHEBI:17814	salicin	glycoside	42
fermentation: esculin	esculin	CHEBI:4799	esculin	glycoside	38
fermentation: arbutin	arbutin	CHEBI:2971	arbutin	glycoside	28
